trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,12,-43.31869313864275,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,2,0.3052863621439825,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,-41.90068867444201,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",30,9,0.32597489831356885,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,7,-84.0247132692631,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",30,2,7.925245942274419,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,9,-100.97086884869854,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,6,-32.30634916746644,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,8,-35.765275624309965,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,-84.0499253639174,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,0,-100.24964235046326,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",35,8,-19.232338368096205,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,0,-13.479390724994508,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,0,-5.975862002016488,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,1,-42.11342706276,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",30,8,-78.2156131342451,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.418951549247639}",20,0,-74.70346015302037,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,0,-48.65861305743648,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",30,0,-60.36573591784416,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,0,-70.64114678885933,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,17,-2.7368121419374165,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,15,16.963282483228,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,10,-7.52509145019698,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,7,-21.757097889429964,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",30,0,-23.899015433374718,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,11,18.576918792882207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,4,-68.36161338323251,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,5,13.261284000766542,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,-60.058859376341914,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
