trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
282,False,"{'a': 0.01, 'e': 0.06020499239237354}",30,0,42.784818328765425,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.01, 'e': 0.05960594270893937}",25,9,27.60631710115372,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.05901285366944784}",20,8,15.74310324144452,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.05842566596450083}",20,14,8.80260031953878,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.057844320874838456}",20,8,22.552627787323427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.05726876026546736}",30,18,19.978230776561333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.0566989265798469}",35,1,32.24071454305658,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.056134762834133725}",20,14,10.307690863317525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.05557621261148306}",25,14,13.913091155562535,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.05502322005640723}",30,20,16.785099112432707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.05447572986918986}",20,7,-0.5716140655382991,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.05393368730035602}",25,11,26.689272404790657,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.053397038145197084}",25,16,15.677488798048719,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.01, 'e': 0.05286572873835037}",30,20,18.37827138634824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05233970594843238}",30,17,4.79980407724711,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.05181891717272583}",25,17,18.659384383725275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.05130331033191911}",30,5,42.17285375035858,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.0507928338648985}",25,11,23.868066411805483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.050287436723591865}",20,13,2.131780297505233,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.049787068367863944}",20,11,19.079751742221976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,24.56614017456018,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.46419671507963,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,10.44924003284247,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,23.982338697366366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,42.00508004458105,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,9,21.578854401926108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,19,23.736667344282864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,19.781055489674646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,1,33.32266262755451,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,26.81956533291955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
